Analysis,ENA run,Sample
MGYA00250089,ERZ650208,SRS2339538
MGYA00589058,ERZ829058,ERS478040
MGYA00367743,ERZ842402,ERS492699
MGYA00136705,ERZ475159,ERS667618
MGYA00151468,ERZ475168,ERS667627
MGYA00593322,ERZ4200943,SRS1525439
MGYA00580151,ERZ1673811,SRS1338799
MGYA00580176,ERZ1673763,SRS1338804
MGYA00510733,ERZ859542,ERS1972417
MGYA00367598,ERZ840530,ERS488769
MGYA00136715,ERZ475173,ERS667632
MGYA00345676,ERZ806358,ERS1871372
MGYA00510622,ERZ859540,ERS1972416
MGYA00520943,ERZ1022827,SRS3540778
MGYA00248933,ERZ651123,SRS1593757
MGYA00594152,ERZ1284145,SRS4558648
MGYA00136664,ERZ475258,ERS667565
MGYA00248722,ERZ505374,SRS1967627
MGYA00587119,ERZ2772485,ERS491851
MGYA00248937,ERZ651131,SRS1593757
MGYA00583198,ERZ1749281,ERS1972344
MGYA00367727,ERZ842083,ERS491836
MGYA00510665,ERZ1756902,ERS1568968
MGYA00521271,ERZ813245,DRS049205
MGYA00580178,ERZ1673760,SRS1338829
MGYA00590556,ERZ841312,ERS488830
MGYA00249079,ERZ650332,SRS1593761
MGYA00581508,ERZ1699648,ERS4382420
MGYA00151503,ERZ475245,ERS667552
MGYA00590469,ERZ841818,ERS488621
MGYA00136621,ERZ475178,ERS667641
MGYA00250077,ERZ650199,SRS2339525
MGYA00593286,ERZ4200933,SRS1525445
MGYA00590520,ERZ841189,ERS493705
MGYA00590537,ERZ841112,ERS492205
MGYA00237672,ERZ505275,SRS1589369
MGYA00248925,ERZ651138,SRS1593757
MGYA00237675,ERZ505285,SRS1589393
MGYA00004399,ERR700189,ERS627838
MGYA00593354,ERZ4200938,SRS1525513
MGYA00151498,ERZ475172,ERS667630
MGYA00510752,ERZ859413,ERS1972341
MGYA00367542,ERZ832854,ERS488545
MGYA00580126,ERZ1673798,SRS1338836
MGYA00510670,ERZ1756833,ERS1972398
MGYA00375877,ERZ724583,SRS791682
MGYA00521110,ERZ813259,DRS049196
MGYA00592915,ERZ3422389,ERS1309764
MGYA00136677,ERZ475260,ERS667668
MGYA00136682,ERZ475142,ERS667659
MGYA00248732,ERZ505381,SRS1967631
MGYA00367695,ERZ841795,ERS490230
MGYA00367541,ERZ832643,ERS494236
MGYA00136645,ERZ475199,ERS667488
MGYA00248599,ERZ508641,SRS1593760
MGYA00375646,ERZ795399,SRS2304775
MGYA00592909,ERZ3895196,SRS9494346
MGYA00590680,ERZ3792512,ERS4023154
MGYA00136690,ERZ475231,ERS667534
MGYA00375882,ERZ724588,SRS791740
MGYA00248940,ERZ651137,SRS1593757
MGYA00240992,ERZ505281,SRS1589380
MGYA00345686,ERZ806370,ERS1871418
MGYA00520898,ERZ807355,SRS976592
MGYA00151571,ERZ475254,ERS667561
MGYA00248734,ERZ505382,SRS1967631
MGYA00593129,ERZ832923,ERS489917
MGYA00583201,ERZ1749192,ERS1972338
MGYA00367530,ERZ829971,ERS491913
MGYA00580159,ERZ1673802,SRS1338807
MGYA00583244,ERZ1749065,ERS1972423
MGYA00593342,ERZ4200906,SRS1525414
MGYA00590458,ERZ841809,ERS490476
MGYA00237979,ERZ584534,SRS1593766
MGYA00248929,ERZ651148,SRS1593757
MGYA00583321,ERZ484672,ERS1972428
MGYA00592938,ERZ3421840,ERS1309196
MGYA00590478,ERZ841863,ERS489529
MGYA00367603,ERZ840564,ERS492814
MGYA00151557,ERZ475229,ERS667532
MGYA00151521,ERZ475151,ERS667601
MGYA00510631,ERZ859437,ERS1972351
MGYA00510727,ERZ484596,ERS1972316
MGYA00581064,ERZ1691584,ERS4846755
MGYA00587826,ERZ2944814,SRS836778
MGYA00590679,ERZ3792517,ERS4023153
MGYA00367658,ERZ841394,ERS488346
MGYA00151558,ERZ475181,ERS667644
MGYA00237854,ERZ510997,SRS1464830
MGYA00136624,ERZ475248,ERS667555
MGYA00237973,ERZ584559,SRS1593766
MGYA00248721,ERZ505372,SRS1967628
MGYA00238104,ERZ650646,SRS1593877
MGYA00582522,ERZ1741270,ERS667579
MGYA00367559,ERZ835002,ERS493636
MGYA00590554,ERZ840564,ERS492814
MGYA00590475,ERZ841483,ERS490085
MGYA00587007,ERZ2772612,ERS492342
MGYA00238077,ERZ650162,ERS1869119
MGYA00510642,ERZ859480,ERS1972383
MGYA00593128,ERZ836445,ERS490633
MGYA00004381,ERR700171,ERS627843
MGYA00151496,ERZ475235,ERS667537
MGYA00136660,ERZ475143,ERS667594
MGYA00590473,ERZ841701,ERS491110
MGYA00593384,ERZ3904941,SRS7832272
MGYA00238048,ERZ584621,SRS1593806
MGYA00510763,ERZ859223,ERS1568978
MGYA00585781,ERZ2439162,SRS2329664
MGYA00587080,ERZ2772550,ERS488757
MGYA00510705,ERZ1756882,ERS1972409
MGYA00589543,ERZ2944898,SRS1872839
MGYA00248445,ERZ584573,SRS1593800
MGYA00238062,ERZ584651,SRS1593806
MGYA00592999,ERZ3421489,ERS1308779
MGYA00248544,ERZ534184,SRS1593764
MGYA00248568,ERZ508609,SRS1593760
MGYA00510837,ERZ477642,ERS1568970
MGYA00589053,ERZ828948,ERS477979
MGYA00004371,ERR700161,ERS627831
MGYA00249088,ERZ650329,SRS1593761
MGYA00582450,ERZ1741353,ERS667576
MGYA00151477,ERZ475157,ERS667609
