,taxon_oid,portal_name
0,3300026111,MayberrySE_Catta_2_FD
1,3300064906,IMG_3300064906
2,3300000615,TroBogEpilimnion_34_FD
3,3300003789,CryBogCBE28Sep08_FD
4,3300038838,IMG_3300038838
5,3300025158,CryGeymeta201504_FD
6,3300015360,OliLak19BULKMAT1_FD
7,3300001266,LakMenEpi05May10_FD
8,3300042343,TYMME2rr0739_FD
9,3300026300,GraSoi013_1_20cm_3_FD
10,3300000729,LuqExpMetageno35_FD
11,2070309004,IMG_2070309004
12,3300029956,I_Bog_N1_2_FD
13,3300013772,IMG_3300013772
14,3300014491,612S2DmetaG_FD
15,3300053171,S17hydmetagenome_6_FD
16,3300022060,30SPOviralmetaG_FD
17,3300036479,C43Bmetagenome_FD
18,3300044270,Oct19T64D_MG_FD
19,3300028748,I_Bog_N3_2_FD
20,3300026847,LuqExpMetageno20_FD
21,3300023062,UWRJS081202R4_FD
22,3300007538,CB_VirMetaG_6_FD
23,3300033134,Lox_Sample_22_FD
24,3300022424,IMG_3300022424
25,3300037444,S5201metagenome_4_FD
26,3300050245,20170724115m_MG_FD
27,3300010999,IMG_3300010999
28,3300024511,Miss_Law_RepA_8h_FD
29,3300032363,IMG_3300032363
30,3300022433,IMG_3300022433
31,3300033123,IMG_3300033123
32,3300038607,IMG_3300038607
33,3300048774,718S21014metaG_FD
34,3300037962,IMG_3300037962
35,3300045828,G05ome_33_FD
36,3300033391,IMG_3300033391
37,3300035412,IMG_3300035412
38,3300026281,OrgsoiDNA2013046_FD
39,3300028652,I_Fen_E3_3_FD
40,3300041018,IMG_3300041018
41,3300003136,LosCitsarcinales_FD
42,3300003967,IMG_3300003967
43,2022920003,IMG_2022920003
44,3300037670,JdFR14_NA24_FD
45,3300005831,IMG_3300005831
46,3300022669,IMG_3300022669
47,3300045092,G10ome_28_FD
48,3300014489,812P2MmetaG_FD
49,3300035667,SNFC_MG_CNT_33_FD
50,3300009071,COGITO_mtgs_1204_3_FD
51,3300049360,33metaG_FD
52,3300005373,IMG_3300005373
53,3300048544,Jacob246metaG_FD
54,3300006046,GraSoiAngelo_101_FD
55,3300054096,IMG_3300054096
56,3300037403,I_Bog_C3_FD
57,3300012041,EasRivERMZT754_2_FD
58,3300016652,IMG_3300016652
59,3300035251,IMG_3300035251
